episode,step,h_norm,attn_out_norm,update_norm,ffn_norm,h_new_norm,ratio_update_h,cos_h_prev,l2_h_prev,cos_q_prev,V_pw_cos,K_pw_cos,z_pw_cos,attn_entropy,attn_jsd_prev,logits_max_diff,kl_pi_prev,action
0,0,0.0,0.6599370837211609,2.6397483348846436,2.6835858821868896,11.308902740478516,2639748334.8846436,nan,nan,nan,0.4527873396873474,0.476523220539093,-0.05681651458144188,2.7725870609283447,nan,nan,nan,0
0,1,11.308902740478516,0.6600756645202637,2.6403026580810547,2.7092127799987793,11.309282302856445,0.23347116149743588,0.98480224609375,1.9716657400131226,0.1907976269721985,0.45238056778907776,0.4753279983997345,-0.05708610266447067,2.772289752960205,7.475255551980808e-05,0.04478398710489273,0.0005605621263384819,2
0,2,11.309282302856445,0.6601593494415283,2.6406373977661133,2.6971263885498047,11.309585571289062,0.23349292440061856,0.9917412996292114,1.453486680984497,0.9816766977310181,0.45232638716697693,0.4754505753517151,-0.05701430141925812,2.772329330444336,4.0923841879703104e-06,0.03338891267776489,0.00010021287016570568,0
0,3,11.309585571289062,0.6594291925430298,2.637716770172119,2.674523115158081,11.309820175170898,0.23322841969278926,0.9955258369445801,1.069838523864746,0.9906573295593262,0.44980332255363464,0.4764237701892853,-0.05687352642416954,2.772357940673828,3.0570372473448515e-06,0.03512880578637123,3.757013473659754e-05,2
0,4,11.309820175170898,0.6598157286643982,2.6392629146575928,2.653111457824707,11.310003280639648,0.23336028988787277,0.9975205659866333,0.7964174151420593,0.9951825737953186,0.44935086369514465,0.47619184851646423,-0.05731721594929695,2.7723684310913086,1.966531272046268e-06,0.03723381459712982,5.6641409173607826e-05,1
0,5,11.310003280639648,0.6604374647140503,2.641749858856201,2.636718511581421,11.310147285461426,0.2335764007582847,0.9985787272453308,0.6029878854751587,0.9974122643470764,0.4508650004863739,0.47470638155937195,-0.05794234201312065,2.772366523742676,1.1522170098032802e-06,0.034024909138679504,5.8627454563975334e-05,1
0,6,11.310147285461426,0.6601377725601196,2.6405510902404785,2.6255242824554443,11.310264587402344,0.23346743624061927,0.9991338849067688,0.4707547724246979,0.9985427856445312,0.45023563504219055,0.47584787011146545,-0.05801235884428024,2.77235746383667,1.0548828868195415e-06,0.030932869762182236,5.578016862273216e-05,2
0,7,11.310264587402344,0.6592956185340881,2.6371824741363525,2.6188297271728516,11.310358047485352,0.23316717781065108,0.999459981918335,0.37167564034461975,0.999125599861145,0.4502953886985779,0.47553449869155884,-0.058695077896118164,2.772352695465088,4.5933484216220677e-07,0.027444258332252502,4.487356636673212e-05,0
0,8,11.310358047485352,0.6592006683349609,2.6368026733398438,2.615973711013794,11.310432434082031,0.23313167118755254,0.999646782875061,0.30057448148727417,0.9994531869888306,0.45038333535194397,0.47516870498657227,-0.059044864028692245,2.7723441123962402,3.319319148431532e-07,0.0224895179271698,2.908310852944851e-05,1
0,9,11.310432434082031,0.6588746309280396,2.635498523712158,2.6154541969299316,11.310495376586914,0.23301483290510974,0.9997587203979492,0.248420849442482,0.9996427893638611,0.4509224593639374,0.47524529695510864,-0.05940882861614227,2.772336721420288,1.7207639757543802e-07,0.01891404390335083,1.916178734973073e-05,1
0,10,11.310495376586914,0.6588015556335449,2.6352062225341797,2.6163270473480225,11.310547828674316,0.23298769282812676,0.9998306632041931,0.20814046263694763,0.999758780002594,0.4506586194038391,0.4754594564437866,-0.059636276215314865,2.7723264694213867,2.891993062803522e-07,0.015113919973373413,1.1960393749177456e-05,1
0,11,11.310547828674316,0.6588390469551086,2.6353561878204346,2.6180975437164307,11.310589790344238,0.23299987124755553,0.9998784065246582,0.1763988733291626,0.9998334050178528,0.45046812295913696,0.47516313195228577,-0.06015772745013237,2.7723193168640137,8.57562554301694e-08,0.011558294296264648,6.19224738329649e-06,3
0,12,11.310589790344238,0.6603579521179199,2.6414318084716797,2.619826078414917,11.310626983642578,0.23353616897384513,0.999909520149231,0.15218950808048248,0.9998811483383179,0.4502120912075043,0.4752753674983978,-0.06061053276062012,2.772310733795166,1.4718898455612361e-07,0.007295459508895874,2.230633981525898e-06,2
0,13,11.310626983642578,0.6589652895927429,2.6358611583709717,2.6217033863067627,11.310650825500488,0.2330428863212404,0.9999359846115112,0.12797154486179352,0.9999147653579712,0.45016759634017944,0.47481027245521545,-0.06109357625246048,2.7723093032836914,1.9757135305553675e-07,0.006558060646057129,1.6765552572906017e-06,0
0,14,11.310650825500488,0.6587703824043274,2.6350815296173096,2.623621940612793,11.310669898986816,0.23297346636113744,0.9999525547027588,0.11015484482049942,0.9999381303787231,0.4500170946121216,0.4746837019920349,-0.06124240532517433,2.7723042964935303,4.936509867548011e-08,0.004976063966751099,8.863280527293682e-07,0
0,15,11.310669898986816,0.6590988039970398,2.636395215988159,2.6256139278411865,11.310683250427246,0.23308921925343443,0.9999640583992004,0.09589564055204391,0.9999547600746155,0.44999077916145325,0.474866658449173,-0.0614103265106678,2.7723019123077393,1.8254468159284443e-08,0.0037015974521636963,4.1193561628460884e-07,3
0,16,11.310683250427246,0.6606022715568542,2.642409086227417,2.627340078353882,11.310696601867676,0.2336206423363154,0.9999719858169556,0.08459615707397461,0.9999666213989258,0.4496089220046997,0.47500213980674744,-0.06146544590592384,2.7722926139831543,1.8225000530947e-07,0.002016782760620117,1.8044374883174896e-07,3
0,17,11.310696601867676,0.6599911451339722,2.6399645805358887,2.628592014312744,11.310704231262207,0.23340424320991557,0.9999786615371704,0.07391849160194397,0.9999754428863525,0.44945386052131653,0.47392672300338745,-0.061393849551677704,2.7723021507263184,3.5030325307161547e-07,0.0020695924758911133,7.633061613887548e-07,0
0,18,11.310704231262207,0.6601170897483826,2.6404683589935303,2.6303772926330566,11.310709953308105,0.23344862574475345,0.9999825954437256,0.06671562790870667,0.9999799132347107,0.44808095693588257,0.4758000671863556,-0.06145323067903519,2.7723124027252197,3.497916623018682e-07,0.002166241407394409,8.759379852563143e-07,1
0,19,11.310709953308105,0.6596960425376892,2.638784170150757,2.632223606109619,11.310712814331055,0.23329960551052564,0.9999873638153076,0.056796036660671234,0.9999854564666748,0.44989871978759766,0.4738118350505829,-0.061276260763406754,2.7723071575164795,2.3403845261782408e-07,0.002627268433570862,9.190989658236504e-07,2
0,20,11.310712814331055,0.6608290076255798,2.6433160305023193,2.634303569793701,11.310714721679688,0.23370021623687137,0.9999904632568359,0.04958159103989601,0.9999869465827942,0.4494379460811615,0.4740091860294342,-0.061719536781311035,2.7722997665405273,5.512229108717293e-07,0.002732798457145691,9.092618711292744e-07,2
0,21,11.310714721679688,0.6598039865493774,2.6392159461975098,2.636672019958496,11.310709953308105,0.23333768122882825,0.9999923706054688,0.04420962929725647,0.9999911785125732,0.44877541065216064,0.47272777557373047,-0.06196876987814903,2.7723023891448975,1.4585384633392096e-07,0.0024918317794799805,6.024201866239309e-07,2
0,22,11.310709953308105,0.6601946949958801,2.6407787799835205,2.637705087661743,11.310710906982422,0.23347595251623948,0.9999933242797852,0.041391532868146896,0.9999924898147583,0.4467766582965851,0.4731040894985199,-0.06182456761598587,2.7722995281219482,1.2953023542650044e-07,0.0007541477680206299,1.0848452802747488e-07,0
